event_id,sensor,period,samples,active_fraction,baseline_active_fraction,delta_vs_baseline
F01,COMP,baseline_24h_to_2h,5704,0.8401122019635343,0.8401122019635343,0.0
F01,COMP,pre_120_to_60m,299,0.7926421404682275,0.8401122019635343,-0.04747006149530686
F01,COMP,pre_60m,298,0.7785234899328859,0.8401122019635343,-0.06158871203064842
F01,COMP,failure,8657,0.008201455469562203,0.8401122019635343,-0.8319107464939721
F01,DV_eletric,baseline_24h_to_2h,5704,0.026297335203366058,0.026297335203366058,0.0
F01,DV_eletric,pre_120_to_60m,299,0.0,0.026297335203366058,-0.026297335203366058
F01,DV_eletric,pre_60m,298,0.0,0.026297335203366058,-0.026297335203366058
F01,DV_eletric,failure,8657,0.9894882753840822,0.026297335203366058,0.9631909401807162
F01,Towers,baseline_24h_to_2h,5704,0.8532608695652174,0.8532608695652174,0.0
F01,Towers,pre_120_to_60m,299,0.7926421404682275,0.8532608695652174,-0.060618729096989954
F01,Towers,pre_60m,298,0.7785234899328859,0.8532608695652174,-0.07473737963233151
F01,Towers,failure,8657,0.5012128913018367,0.8532608695652174,-0.35204797826338075
F01,MPG,baseline_24h_to_2h,5704,0.8401122019635343,0.8401122019635343,0.0
F01,MPG,pre_120_to_60m,299,0.7926421404682275,0.8401122019635343,-0.04747006149530686
F01,MPG,pre_60m,298,0.7785234899328859,0.8401122019635343,-0.06158871203064842
F01,MPG,failure,8657,0.008201455469562203,0.8401122019635343,-0.8319107464939721
F01,LPS,baseline_24h_to_2h,5704,0.002805049088359046,0.002805049088359046,0.0
F01,LPS,pre_120_to_60m,299,0.0,0.002805049088359046,-0.002805049088359046
F01,LPS,pre_60m,298,0.0,0.002805049088359046,-0.002805049088359046
F01,LPS,failure,8657,0.0,0.002805049088359046,-0.002805049088359046
F01,Pressure_switch,baseline_24h_to_2h,5704,0.8660589060308556,0.8660589060308556,0.0
F01,Pressure_switch,pre_120_to_60m,299,0.7926421404682275,0.8660589060308556,-0.0734167655626281
