COMP_state,sensor,samples,mean,median,std,p05,p95
0,TP2,247328,8.405802529434597,8.944,2.3000455639717847,1.86,10.386
0,TP3,247328,8.835040610040108,8.796,0.8977416960093217,7.800000000000001,10.052
0,H1,247328,0.232011418035969,-0.0120000000000004,1.4183356237158948,-0.0240000000000009,-0.0040000000000013
0,DV_pressure,247328,0.4233037423987583,-0.0180000000000006,0.8044622133644477,-0.0240000000000009,2.1340000000000003
0,Reservoirs,247328,8.834092605770476,8.794,0.8968122852277612,7.802,10.048
0,Oil_temperature,247328,66.09414694252168,65.575,7.961111814001295,52.60000000000001,76.29999999999998
0,Motor_current,247328,5.603785903739165,5.827500000000001,1.0135889049486821,4.762499999999999,6.200000000000001
1,TP2,1269620,-0.0032052614168012485,-0.0120000000000004,0.26033047080652294,-0.0180000000000006,-0.0079999999999991
1,TP3,1269620,9.013747664655567,8.982,0.5707904125584273,8.174,9.96
1,H1,1269620,8.997270458877459,8.968,0.5967275862491761,8.16,9.948
1,DV_pressure,1269620,-0.015604856571257065,-0.0199999999999995,0.13129867255517366,-0.0259999999999998,-0.0139999999999993
1,Reservoirs,1269620,9.014676396087019,8.984,0.5699244822579875,8.174,9.958
1,Oil_temperature,1269620,61.97211214772925,62.07499999999999,5.967960524670536,52.325,71.55
1,Motor_current,1269620,1.3579097210188875,0.0424999999999995,1.786733649236227,0.0375000000000005,3.875
